id,campaign_id,channel_id,metric_date,impressions,clicks,conversions,spend,revenue
1,1,3,2026-01-01,84131,2931,78,4153935,23749577
2,1,6,2026-01-01,54615,1142,76,5573412,34617122
3,2,5,2026-01-01,11006,710,102,969343,7397934
4,2,2,2026-01-01,118571,2676,172,5632507,42270064
5,2,1,2026-01-01,26319,1125,60,2539572,17042869
6,3,6,2026-01-01,100568,3355,315,2564486,21636927
7,3,1,2026-01-01,88886,5920,326,3020280,22824592
8,3,2,2026-01-01,106711,2048,310,2946211,14457024
9,3,3,2026-01-01,13675,421,71,6322301,27742682
10,4,4,2026-01-01,39718,1011,140,4821269,19653660
11,4,6,2026-01-01,81622,3847,436,3336646,12732389
12,4,5,2026-01-01,23131,1230,42,695240,5330139
13,4,1,2026-01-01,25033,1553,227,3841334,23349372
14,5,4,2026-01-01,74352,2517,273,396309,2608387
15,5,5,2026-01-01,20014,1323,140,2538291,18051290
16,5,6,2026-01-01,49587,1158,103,4106110,10345228
17,6,6,2026-01-01,18947,1521,103,5659896,31389654
18,6,3,2026-01-01,31071,822,116,4824639,39663349
19,6,2,2026-01-01,74514,6250,723,4398721,11510839
20,6,5,2026-01-01,52576,4253,650,2879615,11336220
21,7,5,2026-01-01,16226,1134,170,6680393,38053101
22,7,1,2026-01-01,21483,529,50,4912086,17146921
23,8,5,2026-01-01,103994,7253,378,2914865,14265214
24,8,4,2026-01-01,93039,5930,534,4641740,24178437
25,8,2,2026-01-01,37493,1194,88,5235091,30486704
26,8,3,2026-01-01,82128,2588,81,5594075,15961253
27,9,1,2026-01-01,14287,765,49,4371951,16549674
28,9,3,2026-01-01,22342,1547,249,5133613,27393093
29,10,4,2026-01-01,17704,1140,87,3748575,19875499
30,10,2,2026-01-01,100561,1916,238,5720548,17679394
31,10,1,2026-01-01,57772,4021,595,1216615,4856651
32,1,5,2026-01-02,23373,1090,70,2395528,18557953
33,1,4,2026-01-02,14880,717,113,4916463,15179345
34,2,5,2026-01-02,26798,1218,118,3664169,29000641
35,2,1,2026-01-02,26579,1154,205,2524684,20346702
36,2,6,2026-01-02,107908,5301,464,6427922,54460801
37,2,4,2026-01-02,77845,5031,492,1892978,8102413
38,3,5,2026-01-02,12989,923,26,5200436,27878139
39,3,6,2026-01-02,116767,6402,186,4559974,13591772
40,4,1,2026-01-02,13907,912,52,1305681,10640747
41,4,5,2026-01-02,79668,2666,306,5495748,16442730
42,5,5,2026-01-02,31772,2072,145,2528136,12323942
43,5,6,2026-01-02,93039,5899,549,6607096,53612657
44,5,3,2026-01-02,6220,307,55,1138703,3347290
45,5,2,2026-01-02,32938,1743,71,3227698,25128226
46,6,3,2026-01-02,25676,1228,131,2837697,17508779
47,6,6,2026-01-02,110788,7095,150,4952341,21276606
48,7,1,2026-01-02,19029,1344,60,2663542,16324792
49,7,2,2026-01-02,99058,4033,524,2514457,13911118
50,7,3,2026-01-02,37914,3143,488,1074255,6773936
51,7,6,2026-01-02,113704,4065,83,6768616,22234348
52,8,2,2026-01-02,78519,1234,39,6096692,48307574
53,8,4,2026-01-02,76511,1354,107,4934916,16722272
54,8,5,2026-01-02,21704,393,30,6978357,58151888
55,9,3,2026-01-02,94399,3182,115,6844089,40101578
56,9,2,2026-01-02,119650,5441,649,1596487,12859036
57,10,2,2026-01-02,59040,995,137,3086573,22205790
58,10,6,2026-01-02,58964,4432,701,2381777,9767272
59,1,1,2026-01-03,34154,1023,170,3233147,14003229
60,1,4,2026-01-03,109247,8777,488,5836759,21355409
61,1,6,2026-01-03,48025,1723,53,6787134,28334587
62,1,2,2026-01-03,89080,4739,610,4798103,21528604
63,2,1,2026-01-03,28405,1662,294,620924,1956168
64,2,3,2026-01-03,61959,2535,369,3960737,24308045
65,3,1,2026-01-03,10817,737,14,4816862,31893131
66,3,4,2026-01-03,102248,7185,370,3917984,11439897
67,3,2,2026-01-03,92062,7738,926,5864897,44503376
68,3,5,2026-01-03,99339,8195,828,5894303,29178906
69,4,6,2026-01-03,30144,1402,238,5981754,41805326
70,4,3,2026-01-03,27810,1700,115,4896430,36734736
71,4,2,2026-01-03,44829,1637,145,5165264,31714563
72,5,4,2026-01-03,93555,2902,277,6977539,48255045
73,5,6,2026-01-03,91356,1951,199,5609492,34866161
74,5,5,2026-01-03,17240,1316,184,5943819,25930010
75,6,2,2026-01-03,11057,368,35,6746555,19814425
76,6,1,2026-01-03,59321,4832,541,6325922,42245301
77,7,4,2026-01-03,90990,6057,986,6759615,52811460
78,7,2,2026-01-03,107029,5018,241,6137731,34418839
79,7,5,2026-01-03,11582,657,109,1318029,6904852
80,8,6,2026-01-03,103992,8512,1004,6333707,49733038
81,8,5,2026-01-03,60933,4709,506,1635113,11383546
82,8,3,2026-01-03,67216,3277,459,5649091,23522069
83,9,4,2026-01-03,15155,1038,59,3117293,13773002
84,9,2,2026-01-03,75798,1595,70,3513132,23410453
85,9,3,2026-01-03,97591,3029,261,3075634,17702324
86,9,5,2026-01-03,59496,1170,179,3567168,28284185
87,10,6,2026-01-03,5772,494,33,3571445,27216866
88,10,1,2026-01-03,114540,5317,742,4881289,35629548
89,10,4,2026-01-03,33906,1750,111,4373860,11696352
90,10,2,2026-01-03,49057,3196,472,6374873,22250017
91,1,2,2026-01-04,56645,3364,424,1004202,6383207
92,1,5,2026-01-04,22786,1823,89,2482349,11852281
93,1,1,2026-01-04,32742,1607,118,3480341,14511419
94,2,3,2026-01-04,7540,536,15,3235680,12442267
95,2,1,2026-01-04,13993,1029,127,6626966,17801223
96,2,4,2026-01-04,37411,1120,26,1578275,6204624
97,3,6,2026-01-04,65952,4449,634,1707517,10476224
98,3,1,2026-01-04,103032,7096,1024,1673767,13872724
99,3,2,2026-01-04,19168,1119,188,5130133,33674622
100,4,4,2026-01-04,82607,5517,664,1154810,7717777
101,4,2,2026-01-04,44529,3507,407,1315483,9573247
102,4,1,2026-01-04,79177,5835,440,3893495,25187517
103,5,5,2026-01-04,6658,524,79,1185324,6046504
104,5,3,2026-01-04,52472,3288,501,6233334,21305204
105,6,6,2026-01-04,90256,3182,475,4814521,34413467
106,6,5,2026-01-04,65931,3142,430,2551464,11312751
107,7,1,2026-01-04,64087,2133,201,5419833,35278402
108,7,3,2026-01-04,49092,842,131,1825383,9903249
109,8,3,2026-01-04,83139,5619,360,385153,2156765
110,8,6,2026-01-04,30042,643,86,4398488,25647835
111,8,5,2026-01-04,36499,2437,300,4417307,22921614
112,9,1,2026-01-04,34045,1543,90,5869700,35155590
113,9,3,2026-01-04,67031,3787,284,6557359,38047966
114,10,6,2026-01-04,45189,1529,60,1915514,8415404
115,10,4,2026-01-04,102370,5649,801,1853149,6762596
116,10,3,2026-01-04,101810,5224,710,6677086,37710987
117,1,1,2026-01-05,34816,1464,100,6239289,35593961
118,1,2,2026-01-05,40954,754,21,2750619,18386524
119,1,3,2026-01-05,21551,1354,190,1160567,8978515
120,2,3,2026-01-05,49657,1431,40,4307482,13717274
121,2,4,2026-01-05,13564,611,19,5580173,36933525
122,2,5,2026-01-05,24887,651,71,2848757,8577850
123,2,2,2026-01-05,37530,896,127,5386161,32730413
124,3,2,2026-01-05,63028,2351,268,3897285,16884135
125,3,5,2026-01-05,86399,1686,292,1132431,9269560
126,3,4,2026-01-05,32235,1995,124,981049,3377106
127,3,6,2026-01-05,27782,1566,70,3726893,19391107
128,4,4,2026-01-05,42762,2908,385,4108690,12026458
129,4,3,2026-01-05,35595,3000,438,5543366,33474932
130,4,1,2026-01-05,110369,9384,826,4868120,18736696
131,4,6,2026-01-05,24528,2039,310,899029,2569270
132,5,5,2026-01-05,62560,1521,198,6169791,30324838
133,5,6,2026-01-05,40683,2137,211,974795,5934766
134,5,3,2026-01-05,61626,4319,503,516970,1575704
135,6,5,2026-01-05,112665,3967,104,6644042,23593952
136,6,6,2026-01-05,73021,4663,776,1822441,15457348
137,6,1,2026-01-05,62132,3890,383,1065396,5667973
